antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.010916157055495227,0.01371663713779505,0.00948734068697491,0.8691099476439791,63.361736474694595,1.0,0.0093376077217055,7.535204892267248,0.995080054413888,0.6264150943396226,0.8672896073434955,0.7803883071553228
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.01371663713779505,0.010916157055495227,0.00948734068697491,0.6916666666666667,63.36173647469459,1.0,0.0093376077217055,3.207839490630826,0.9979055120639014,0.6264150943396226,0.6882637043029393,0.7803883071553228
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.01371663713779505,0.011659141567125794,0.009944561924901412,0.7250000000000001,62.182965686274514,1.0,0.009784637710686965,3.5939667579377255,0.9976021724317768,0.6444444444444444,0.7217559127970856,0.7889705882352942
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.011659141567125794,0.01371663713779505,0.009944561924901412,0.8529411764705882,62.18296568627451,1.0,0.009784637710686965,6.706726867462993,0.9955253969614973,0.6444444444444444,0.8508959706035744,0.7889705882352942
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM "", ""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.009944561924901412,0.015374064125278619,0.00948734068697491,0.9540229885057471,62.054052899200954,1.0,0.009334452354243671,21.415614105275164,0.99376760056447,0.5992779783393503,0.9533050980894507,0.7855616801264795
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM "", ""POPPY'S PLAYHOUSE BEDROOM ""})",0.015374064125278619,0.009944561924901412,0.00948734068697491,0.6171003717472119,62.054052899200954,1.0,0.009334452354243671,2.585678765458267,0.9992475124552074,0.5992779783393503,0.6132543557386692,0.7855616801264795
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.011659141567125794,0.015374064125278619,0.010916157055495227,0.9362745098039215,60.89961002988556,1.0,0.010736908665396535,15.451053147572525,0.9951825073426497,0.677304964539007,0.9352794925725106,0.8231558422625556
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.015374064125278619,0.011659141567125794,0.010916157055495227,0.7100371747211895,60.89961002988555,1.0,0.010736908665396535,3.408508857928758,0.9989372590826817,0.677304964539007,0.7066165758455244,0.8231558422625556
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.01371663713779505,0.015374064125278619,0.012402126078756359,0.9041666666666667,58.81116790582404,1.0,0.012191245619816719,10.274357591736223,0.9966673511770685,0.7431506849315068,0.9026703138301989,0.8554290582403965
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.015374064125278619,0.01371663713779505,0.012402126078756359,0.8066914498141264,58.81116790582404,1.0,0.012191245619816719,5.102119704037177,0.998345047554137,0.7431506849315068,0.8040030305034346,0.8554290582403965
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.013430873864090987,0.014916842887352117,0.011087615019717665,0.825531914893617,55.34226787315562,1.0,0.010887268784447176,5.646208339548103,0.9952983551260322,0.642384105960265,0.8228899927415652,0.7844134670253526
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.014916842887352117,0.013430873864090987,0.011087615019717665,0.7432950191570882,55.34226787315562,1.0,0.010887268784447176,3.8432021182309297,0.9967997334756072,0.642384105960265,0.7398003099404225,0.7844134670253526
frozenset({'PINK  SPOTTY CUP'}),frozenset({'BLUE  SPOTTY CUP'}),0.01325941589986855,0.013488026518831799,0.009430188032234096,0.7112068965517241,52.72875876680304,1.0,0.00925134467895245,3.415981758919865,0.9942177640874427,0.5445544554455445,0.7072583899522343,0.7051797194623027
frozenset({'BLUE  SPOTTY CUP'}),frozenset({'PINK  SPOTTY CUP'}),0.013488026518831799,0.01325941589986855,0.009430188032234096,0.6991525423728814,52.72875876680304,1.0,0.00925134467895245,3.2798701105300148,0.9944481604176871,0.5445544554455445,0.6951098774340171,0.7051797194623027
frozenset({'COFFEE MUG DOG + BALL DESIGN'}),frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),0.014916842887352117,0.015031148196833743,0.011144767674458479,0.7471264367816093,49.705213932957484,1.0,0.010920550398389803,3.895104095767068,0.9947194601638788,0.5927051671732523,0.743267451802705,0.7442856518508807
frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),frozenset({'COFFEE MUG DOG + BALL DESIGN'}),0.015031148196833743,0.014916842887352117,0.011144767674458479,0.7414448669201521,49.70521393295748,1.0,0.010920550398389803,3.80995397530333,0.9948348970282358,0.5927051671732523,0.7375296377640926,0.7442856518508807
"frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , FRONT  DOOR '})",0.012287820769274732,0.014173858375721552,0.008572898211121907,0.6976744186046513,49.222618154538644,1.0,0.008398732379791957,3.2608095453726147,0.9918720827064768,0.47923322683706077,0.69332768869648,0.6512565641410353
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , BACK DOOR '})",0.014173858375721552,0.012287820769274732,0.008572898211121907,0.6048387096774194,49.22261815453864,1.0,0.008398732379791957,2.499516535196121,0.9937696871316213,0.47923322683706077,0.5999226306692401,0.6512565641410353
frozenset({'SET/6 TURQUOISE BUTTERFLY T-LIGHTS'}),frozenset({'SET/6 PINK  BUTTERFLY T-LIGHTS'}),0.012459278733497172,0.015316911470537806,0.009030119449048407,0.7247706422018347,47.31832808434889,1.0,0.008839281779700676,3.577681888323711,0.9912163810464301,0.48170731707317066,0.7204894031345698,0.6571614405039023
frozenset({'SET/6 PINK  BUTTERFLY T-LIGHTS'}),frozenset({'SET/6 TURQUOISE BUTTERFLY T-LIGHTS'}),0.015316911470537806,0.012459278733497172,0.009030119449048407,0.5895522388059701,47.31832808434889,1.0,0.008839281779700676,2.4060083027220247,0.9940929739451662,0.48170731707317066,0.5843738365870744,0.6571614405039023
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , FRONT  DOOR ', 'KEY FOB , SHED'})",0.019717665885580386,0.010230325198605476,0.009315882722752472,0.47246376811594204,46.182673467735405,1.0,0.009114164588585535,1.8762117461894567,0.9980255928944236,0.4515235457063712,0.467011118531276,0.6915391466278034
"frozenset({'KEY FOB , FRONT  DOOR ', 'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR '})",0.010230325198605476,0.019717665885580386,0.009315882722752472,0.9106145251396647,46.1826734677354,1.0,0.009114164588585535,10.966908612905053,0.988459115909756,0.4515235457063712,0.9088166013507878,0.6915391466278034
"frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , BACK DOOR '})",0.009430188032234096,0.019717665885580386,0.008572898211121907,0.9090909090909092,46.10540184453228,1.0,0.008386956914264117,10.783105675258625,0.9876240480036926,0.4166666666666667,0.9072623388738128,0.6719367588932806
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , FRONT  DOOR '})",0.019717665885580386,0.009430188032234096,0.008572898211121907,0.43478260869565216,46.10540184453228,1.0,0.008386956914264117,1.7525465904045088,0.997988572761194,0.4166666666666667,0.4294017600016054,0.6719367588932806
frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),0.014631079613648054,0.017888780933874377,0.012059210150311483,0.82421875,46.07461811102237,1.0,0.011797477972276857,5.587121601798404,0.9928221359258529,0.5893854748603354,0.821016961635824,0.7491700778753994
frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),0.017888780933874377,0.014631079613648054,0.012059210150311483,0.6741214057507988,46.07461811102237,1.0,0.011797477972276857,3.023730118440473,0.9961153657761656,0.5893854748603354,0.6692826539308466,0.7491700778753994
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})","frozenset({'KEY FOB , FRONT  DOOR '})",0.014631079613648054,0.014173858375721552,0.009315882722752472,0.63671875,44.92204826108871,1.0,0.009108503872424718,2.713671959739949,0.9922570075682771,0.47800586510263926,0.6314956211229636,0.6469884072580645
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})",0.014173858375721552,0.014631079613648054,0.009315882722752472,0.657258064516129,44.922048261088705,1.0,0.009108503872424718,2.874958732421356,0.9917968037268633,0.47800586510263926,0.6521689202968917,0.6469884072580645
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.015488369434760245,0.017603017660170316,0.011887752186089043,0.7675276752767527,43.602051085445915,1.0,0.011615110145401716,4.225866384350694,0.9924365226089364,0.5606469002695416,0.763362134755794,0.721426175300714
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.017603017660170316,0.015488369434760245,0.011887752186089043,0.6753246753246752,43.60205108544591,1.0,0.011615110145401716,3.0322958221409375,0.9945727813404815,0.5606469002695416,0.6702168724112296,0.721426175300714
"frozenset({'WOODEN PICTURE FRAME WHITE FINISH', 'WOOD S/3 CABINET ANT WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.014859690232611305,0.01691718580328056,0.010916157055495227,0.7346153846153846,43.42420738045738,1.0,0.010664772914850948,3.7043700245093767,0.9917078414357038,0.5232876712328767,0.7300485660493798,0.6899428274428274
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOODEN PICTURE FRAME WHITE FINISH', 'WOOD S/3 CABINET ANT WHITE FINISH'})",0.01691718580328056,0.014859690232611305,0.010916157055495227,0.6452702702702703,43.42420738045738,1.0,0.010664772914850948,2.777157444677591,0.99378338833947,0.5232876712328767,0.6399195868723628,0.6899428274428274
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.015545522089501057,0.014402468994684803,0.00971595130593816,0.625,43.395337301587304,1.0,0.009492057406037934,2.6282600826808404,0.9923831640058055,0.480225988700565,0.6195201507683387,0.6498015873015872
frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.014402468994684803,0.015545522089501057,0.00971595130593816,0.6746031746031745,43.3953373015873,1.0,0.009492057406037934,3.025396688212752,0.9912322412293418,0.480225988700565,0.6694648328610592,0.6498015873015872
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.015202606161056181,0.01565982739898268,0.010173172543864663,0.6691729323308271,42.731820426979866,1.0,0.009935102355367813,2.9753918853621664,0.9916742688086992,0.49171270718232046,0.6639098180916496,0.6594039844135888
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.01565982739898268,0.015202606161056181,0.010173172543864663,0.6496350364963505,42.731820426979866,1.0,0.009935102355367813,2.8107758949153197,0.9921348966987572,0.49171270718232046,0.644226349810031,0.6594039844135888
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.011487683602903354,0.017660170314911128,0.008572898211121907,0.746268656716418,42.25716079795199,1.0,0.008370023762170822,3.8715746228765275,0.987681544865865,0.4166666666666667,0.7417071611919457,0.6158527749601508
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , FRONT  DOOR '})",0.017660170314911128,0.011487683602903354,0.008572898211121907,0.4854368932038835,42.25716079795199,1.0,0.008370023762170822,1.9210711054509615,0.9938875959972073,0.4166666666666667,0.4794570606144975,0.6158527749601508
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.014631079613648054,0.017660170314911128,0.010916157055495227,0.74609375,42.247256775889966,1.0,0.01065776969762718,3.868907636913581,0.9908266882394974,0.5106951871657754,0.7415291100622527,0.6821083636731391
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , SHED'})",0.017660170314911128,0.014631079613648054,0.010916157055495227,0.6181229773462783,42.247256775889966,1.0,0.01065776969762718,2.5803304779608705,0.9938819485651137,0.5106951871657754,0.6124527425687507,0.6821083636731391
frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.014402468994684803,0.014631079613648054,0.008744356175344345,0.6071428571428572,41.49679129464286,1.0,0.008533632504850014,2.508211797347078,0.9901625364555795,0.4309859154929578,0.6013095859537482,0.6023995535714286
frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.014631079613648054,0.014402468994684803,0.008744356175344345,0.59765625,41.496791294642854,1.0,0.008533632504850014,2.4496404654112687,0.9903922592179382,0.4309859154929578,0.59177682842853,0.6023995535714286
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , BACK DOOR '})",0.014173858375721552,0.019717665885580386,0.011487683602903354,0.8104838709677419,41.104453015427765,1.0,0.011208208199141341,5.172553592773957,0.9896995975540005,0.5127551020408163,0.8066718919264564,0.6965462833099578
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , FRONT  DOOR '})",0.019717665885580386,0.014173858375721552,0.011487683602903354,0.5826086956521739,41.104453015427765,1.0,0.011208208199141341,2.3618751309748336,0.9952966626754288,0.5127551020408163,0.5766075916184177,0.6965462833099578
frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'}),0.013830942447276676,0.015774132708464308,0.008915814139566783,0.6446280991735537,40.86615163492634,1.0,0.008697643017920309,2.769565812611065,0.9892115997592672,0.430939226519337,0.6389325736739835,0.6049227452389507
frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'}),frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),0.015774132708464308,0.013830942447276676,0.008915814139566783,0.5652173913043478,40.86615163492633,1.0,0.008697643017920309,2.2681888323712633,0.9911646335198975,0.430939226519337,0.5591195998639336,0.6049227452389507
frozenset({'VINTAGE KID DOLLY CARD '}),frozenset({'COWBOYS AND INDIANS BIRTHDAY CARD '}),0.014059553066239927,0.015316911470537806,0.008572898211121907,0.6097560975609756,39.80933745904623,1.0,0.008357549281490982,2.5232504143567467,0.9887820995884298,0.4120879120879122,0.6036857878590974,0.5847287950491445
frozenset({'COWBOYS AND INDIANS BIRTHDAY CARD '}),frozenset({'VINTAGE KID DOLLY CARD '}),0.015316911470537806,0.014059553066239927,0.008572898211121907,0.5597014925373135,39.80933745904623,1.0,0.008357549281490982,2.23925457439193,0.99004469208892,0.4120879120879122,0.5534228169338227,0.5847287950491445
"frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , SHED'})",0.012287820769274732,0.02257529862262102,0.010916157055495227,0.8883720930232558,39.35151015602002,1.0,0.010638755832207606,8.756096283172354,0.986712561749022,0.4558472553699285,0.8857938551998542,0.6859581984103621
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , BACK DOOR '})",0.02257529862262102,0.012287820769274732,0.010916157055495227,0.4835443037974683,39.35151015602002,1.0,0.010638755832207606,1.9124819156673354,0.9970977951202548,0.4558472553699285,0.47711923871914724,0.6859581984103621
frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.014631079613648054,0.015545522089501057,0.008915814139566783,0.609375,39.199391084558826,1.0,0.008688366368239568,2.520203463450877,0.9889589365837844,0.4193548387096774,0.6032066400580551,0.591452205882353
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.015545522089501057,0.014631079613648054,0.008915814139566783,0.573529411764706,39.199391084558826,1.0,0.008688366368239568,2.310520227112826,0.9898775631721932,0.4193548387096774,0.567197037158347,0.591452205882353
"frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR '})",0.014231011030462365,0.019717665885580386,0.010916157055495227,0.7670682730923695,38.90259007042663,1.0,0.010635554734782561,4.208453468870525,0.988360134629768,0.4739454094292804,0.7623830208895283,0.6603457307490832
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN', 'KEY FOB , SHED'})",0.019717665885580386,0.014231011030462365,0.010916157055495227,0.553623188405797,38.902590070426626,1.0,0.010635554734782561,2.208378579185003,0.9938920010549347,0.4739454094292804,0.547179089026915,0.6603457307490832
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),0.015545522089501057,0.015031148196833743,0.00908727210378922,0.5845588235294118,38.88983169313353,1.0,0.008853605057464778,2.3708984751368254,0.9896712946481548,0.4228723404255319,0.5782189703663757,0.5945607805859987
frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.015031148196833743,0.015545522089501057,0.00908727210378922,0.6045627376425855,38.88983169313352,1.0,0.008853605057464778,2.4895339201005884,0.9891544650292715,0.4228723404255319,0.5983183872587703,0.5945607805859987
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.017888780933874377,0.01583128536320512,0.010916157055495227,0.610223642172524,38.54542623499153,1.0,0.010632954659731199,2.5249574400107937,0.9917986535630366,0.47869674185463673,0.6039537205047998,0.6498771640465508
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.01583128536320512,0.017888780933874377,0.010916157055495227,0.6895306859205776,38.545426234991524,1.0,0.010632954659731199,3.163311717224614,0.9897252069005356,0.47869674185463673,0.6838756058864262,0.6498771640465508
frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),0.014631079613648054,0.015431216780019432,0.008687203520603532,0.59375,38.47719907407407,1.0,0.008461428159359605,2.423553927926106,0.988473009564105,0.40641711229946526,0.5873828147675161,0.5783564814814814
frozenset({'WHITE SPOT RED CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.015431216780019432,0.014631079613648054,0.008687203520603532,0.5629629629629629,38.477199074074065,1.0,0.008461428159359605,2.25465769918911,0.9892763196084483,0.40641711229946526,0.5564736942731258,0.5783564814814814
frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.014631079613648054,0.015545522089501057,0.008744356175344345,0.59765625,38.445556640625,1.0,0.00851690840401713,2.4467994790785217,0.9884513014841884,0.408,0.5913028392597968,0.580078125
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.015545522089501057,0.014631079613648054,0.008744356175344345,0.5625,38.445556640625,1.0,0.00851690840401713,2.2522718180259473,0.9893694565392679,0.408,0.5560038570848559,0.580078125
"frozenset({'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.014173858375721552,0.017660170314911128,0.009430188032234096,0.6653225806451613,37.673621985593485,1.0,0.009179875279299424,2.9351840694205062,0.9874522370203279,0.42091836734693877,0.6593058641813118,0.5996515815847165
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , FRONT  DOOR '})",0.017660170314911128,0.014173858375721552,0.009430188032234096,0.5339805825242718,37.673621985593485,1.0,0.009179875279299424,2.115418595568764,0.9909566928300928,0.42091836734693877,0.52728032073901,0.5996515815847165
"frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET', 'RED 3 PIECE MINI DOTS CUTLERY SET'})",frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),0.011430530948162543,0.021203634908841515,0.00885866148482597,0.7749999999999999,36.55033692722372,1.0,0.008616292679786917,4.350206067071814,0.9838868198289095,0.3725961538461538,0.7701258320682003,0.5963948787061994
frozenset({'BLUE 3 PIECE MINI DOTS CUTLERY SET'}),"frozenset({'PINK 3 PIECE MINI DOTS CUTLERY SET', 'RED 3 PIECE MINI DOTS CUTLERY SET'})",0.021203634908841515,0.011430530948162543,0.00885866148482597,0.41778975741239893,36.55033692722372,1.0,0.008616292679786917,1.6979595973066284,0.9937107510557425,0.3725961538461538,0.4110578357775767,0.5963948787061994
"frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , FRONT  DOOR '})","frozenset({'KEY FOB , SHED'})",0.011487683602903354,0.02257529862262102,0.009315882722752472,0.8109452736318409,35.92179608287676,1.0,0.00905654483493474,5.1700622362329804,0.9834594189656246,0.37644341801385683,0.8065787307178295,0.6118017507399711
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR ', 'KEY FOB , FRONT  DOOR '})",0.02257529862262102,0.011487683602903354,0.009315882722752472,0.41265822784810124,35.92179608287675,1.0,0.00905654483493474,1.6830274352450567,0.9946154900262802,0.37644341801385683,0.4058326209908781,0.6118017507399711
frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),frozenset({'SET/10 RED SPOTTY PARTY CANDLES'}),0.014631079613648054,0.016402811910613248,0.008572898211121907,0.5859375,35.72177155923345,1.0,0.00833290736417003,2.3754800014234245,0.9864385283142895,0.3816793893129771,0.5790324484311447,0.5542927918118468
frozenset({'SET/10 RED SPOTTY PARTY CANDLES'}),frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),0.016402811910613248,0.014631079613648054,0.008572898211121907,0.5226480836236934,35.72177155923345,1.0,0.00833290736417003,2.0642400011013358,0.9882153786558202,0.3816793893129771,0.5155602064360398,0.5542927918118468
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , SHED'})",0.017660170314911128,0.02257529862262102,0.014231011030462365,0.8058252427184466,35.69499815656876,1.0,0.013832327411876899,5.033737212093501,0.9894588827733555,0.5472527472527473,0.801340443915604,0.7181024947769448
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.02257529862262102,0.017660170314911128,0.014231011030462365,0.6303797468354431,35.69499815656876,1.0,0.013832327411876899,2.657700224148015,0.9944345267868339,0.5472527472527473,0.6237348400267482,0.7181024947769448
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR '})",0.017660170314911128,0.019717665885580386,0.012287820769274732,0.6957928802588996,35.28779137939121,1.0,0.01193960343152287,3.2224174600144213,0.989129787683132,0.489749430523918,0.68967397539004,0.6594906430280005
