Description,Price,cumsum_price,cumsum_perc,cumperc
EDWARDIAN PARASOL BLACK,3181.1,187543.23,14.883470244246128,14.883470244246128
VINTAGE UNION JACK MEMOBOARD,3125.8799999999997,190669.11000000002,15.131540739603832,15.131540739603832
CREAM SWEETHEART MAGAZINE RACK,3119.65,193788.76,15.379116820849006,15.379116820849006
CREAM SWEETHEART WALL CABINET,3090.47,196879.23,15.624377171146564,15.624377171146564
HEART OF WICKER LARGE,3083.48,199962.71000000002,15.869082793571474,15.869082793571474
ASSORTED COLOUR MINI CASES,3064.84,203027.55000000002,16.112309141669325,16.112309141669325
RED KITCHEN SCALES,3061.7,206089.25000000003,16.355286298705646,16.355286298705646
CREAM SWEETHEART TRAYS,3059.35,209148.60000000003,16.598076959246868,16.598076959246868
CHILDS BREAKFAST SET SPACEBOY ,3053.6499999999996,212202.25000000003,16.840415266587218,16.840415266587218
RED HANGING HEART T-LIGHT HOLDER,3049.59,215251.84000000003,17.08243137147221,17.08243137147221
DOOR MAT NEW ENGLAND,3043.43,218295.27000000002,17.32395861745942,17.32395861745942
WOODEN ROUNDERS GARDEN SET ,3041.97,221337.24000000002,17.56536999753904,17.56536999753904
WOOD BLACK BOARD ANT WHITE FINISH,3020.33,224357.57,17.80506402265956,17.80506402265956
CHILDS BREAKFAST SET DOLLY GIRL ,3018.2,227375.77000000002,18.04458901053134,18.04458901053134
WOODEN FRAME ANTIQUE WHITE ,3013.5,230389.27000000002,18.283741005412924,18.283741005412924
CERAMIC CAKE STAND + HANGING CAKES,3013.1,233402.37000000002,18.522861256210234,18.522861256210234
BOX OF VINTAGE ALPHABET BLOCKS,2987.1,236389.47000000003,18.75991814152989,18.75991814152989
SET 7 BABUSHKA NESTING BOXES,2951.2,239340.67000000004,18.994125995286165,18.994125995286165
EDWARDIAN PARASOL NATURAL,2923.7000000000003,242264.37000000005,19.226151443248764,19.226151443248764
DOORMAT UNION FLAG,2886.79,245151.16000000006,19.455247705835195,19.455247705835195
DOORMAT HEARTS,2874.09,248025.25000000006,19.683336093746,19.683336093746
LOVE LARGE WOOD LETTERS ,2805.15,250830.40000000005,19.905953388732584,19.905953388732584
CREAM HEART CARD HOLDER,2746.6200000000003,253577.02000000005,20.12392573058812,20.12392573058812
DOOR MAT RED SPOT,2676.96,256253.98000000004,20.336369840167745,20.336369840167745
RED WOOLLY HOTTIE WHITE HEART.,2669.2,258923.18000000005,20.548198114512502,20.548198114512502
BAKING SET SPACEBOY DESIGN,2630.77,261553.95000000004,20.75697657596086,20.75697657596086
FAMILY ALBUM WHITE PICTURE FRAME,2627.35,264181.30000000005,20.965483625488694,20.965483625488694
CHILDS BREAKFAST SET CIRCUS PARADE,2618.73,266800.03,21.17330659000047,21.17330659000047
PICNIC BASKET WICKER LARGE,2614.6,269414.63,21.380801796842146,21.380801796842146
RECIPE BOX WITH METAL HEART,2578.7000000000003,271993.33,21.58544797212044,21.58544797212044
PINK HAPPY BIRTHDAY BUNTING,2560.59,274553.92000000004,21.78865693398334,21.78865693398334
GLASS CAKE COVER AND PLATE,2505.45,277059.37000000005,21.987489973829387,21.987489973829387
COOKING SET RETROSPOT,2474.0899999999997,279533.4600000001,22.183834277468538,22.183834277468538
SET/5 RED SPOTTY LID GLASS BOWLS,2473.15,282006.6100000001,22.380103982509652,22.380103982509652
SWEETHEART KEY CABINET,2471.46,284478.0700000001,22.57623956879472,22.57623956879472
WEEKEND BAG VINTAGE ROSE PAISLEY,2443.75,286921.8200000001,22.77017608364186,22.77017608364186
PAPER CHAIN KIT 50'S CHRISTMAS ,2430.9,289352.72000000015,22.96309281978178,22.96309281978178
RETRO SPOT LARGE MILK JUG,2430.05,291782.77000000014,23.15594209974262,23.15594209974262
VINTAGE UNION JACK CUSHION COVER,2426.04,294208.8100000001,23.348473145258637,23.348473145258637
SET OF 2 WOODEN MARKET CRATES,2326.2,296535.0100000001,23.533080867340452,23.533080867340452
ASSORTED COLOUR BIRD ORNAMENT,2300.16,298835.1700000001,23.715622049536176,23.715622049536176
MINT KITCHEN SCALES,2297.55,301132.7200000001,23.897956101582025,23.897956101582025
DOOR MAT FAIRY CAKE,2290.06,303422.7800000001,24.079695745649897,24.079695745649897
RED/WHITE DOTS RUFFLED UMBRELLA,2245.05,305667.8300000001,24.257863386635094,24.257863386635094
3 HOOK PHOTO SHELF ANTIQUE WHITE,2241.03,307908.8600000001,24.435711999573368,24.435711999573368
CAKE STAND WHITE TWO TIER LACE,2234.65,310143.5100000001,24.613054294367505,24.613054294367505
ORGANISER WOOD ANTIQUE WHITE ,2212.4,312355.91000000015,24.788630824474033,24.788630824474033
EDWARDIAN PARASOL RED,2157.0,314512.91000000015,24.959810798908936,24.959810798908936
CHILLI LIGHTS,2145.64,316658.55000000016,25.13008924135052,25.13008924135052
NATURAL SLATE HEART CHALKBOARD ,2136.15,318794.7000000002,25.29961455539277,25.29961455539277
WOODEN ADVENT CALENDAR CREAM,2123.7,323042.1000000002,25.63668911423134,25.46815183481205
JUMBO BAG RED RETROSPOT,2123.7,320918.4000000002,25.46815183481205,25.63668911423134
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2112.35,325154.4500000002,25.80432565525942,25.80432565525942
DOOR MAT HEARTS,2106.11,327260.5600000002,25.971466988572857,25.971466988572857
PICTURE FRAME WOOD TRIPLE PORTRAIT,2105.35,329365.91000000015,26.13854800812618,26.13854800812618
RETRO SPOT TRADITIONAL TEAPOT ,2100.55,331466.46000000014,26.305248098668244,26.305248098668244
DOOR MAT ENGLISH ROSE ,2100.01,333566.47000000015,26.471905334696537,26.471905334696537
WOODEN PICTURE FRAME WHITE FINISH,2093.1,335659.5700000001,26.638014191669047,26.638014191669047
RED SPOT HEART HOT WATER BOTTLE,2085.65,337745.22000000015,26.80353181507199,26.80353181507199
VICTORIAN SEWING BOX SMALL ,2070.5,339815.72000000015,26.967847131283147,26.967847131283147
MEMO BOARD COTTAGE DESIGN,2069.87,341885.59000000014,27.132112450561575,27.132112450561575
WOODEN UNION JACK BUNTING,2048.75,343934.34000000014,27.294701682190457,27.294701682190457
PINK CHERRY LIGHTS,2000.75,345935.09000000014,27.453481623706743,27.453481623706743
MEMO BOARD RETROSPOT  DESIGN,1998.7,347933.79000000015,27.61209887679114,27.61209887679114
RED/WHITE DOT MINI CASES,1974.45,349908.24000000017,27.768791644766566,27.768791644766566
SWEETHEART CREAM STEEL FOLDIN BENCH,1935.1499999999999,351843.3900000002,27.922365556462303,27.922365556462303
JUMBO STORAGE BAG SUKI,1924.85,353768.24000000017,28.075122057988043,28.075122057988043
KNITTED UNION FLAG HOT WATER BOTTLE,1895.82,355664.0600000002,28.22557473259777,28.22557473259777
STRAWBERRY CERAMIC TRINKET BOX,1892.64,357556.7000000002,28.375775041737533,28.375775041737533
TWO DOOR CURIO CABINET,1891.0,359447.7000000002,28.525845200131783,28.525845200131783
RETRO SPOT LAMP,1887.3999999999999,361335.1000000002,28.675629661767594,28.675629661767594
DOORMAT SPOTTY HOME SWEET HOME,1880.5,363215.6000000002,28.82486653794971,28.82486653794971
CAKE STAND LOVEBIRD 2 TIER WHITE,1874.55,365090.1500000002,28.97363122087829,28.97363122087829
WALL MOUNTED VINTAGE ORGANISER,1865.87,366956.0200000002,29.121707057178174,29.121707057178174
DOOR MAT SPOTTY HOME SWEET HOME,1862.92,368818.9400000002,29.269548780856553,29.269548780856553
JUMBO SHOPPER VINTAGE RED PAISLEY,1839.0,370657.9400000002,29.41549220829549,29.41549220829549
BREAD BIN DINER STYLE IVORY,1817.4499999999998,372475.3900000002,29.559725423194287,29.559725423194287
VICTORIAN SEWING BOX MEDIUM,1814.15,374289.5400000002,29.70369674939785,29.70369674939785
PAPER BUNTING RETRO SPOTS,1812.3500000000001,376101.8900000002,29.84752522722218,29.84752522722218
LUNCH BAG RED SPOTTY,1811.9399999999998,377913.8300000002,29.99132116736014,29.99132116736014
PAPER CHAIN KIT VINTAGE CHRISTMAS,1807.8500000000001,379721.68000000017,30.13479252423642,30.13479252423642
NOEL WOODEN BLOCK LETTERS ,1795.44,381517.12000000017,30.277279020898174,30.277279020898174
TEA TIME TABLE CLOTH,1784.73,383301.85000000015,30.418915569703554,30.418915569703554
FRENCH STYLE WALL DRESSER,1770.0,385071.85000000015,30.55938314260563,30.55938314260563
RED 3 PIECE MINI DOTS CUTLERY SET,1765.44,386837.29000000015,30.699488832947008,30.699488832947008
PICNIC BASKET WICKER SMALL,1764.6000000000001,388601.89000000013,30.839527860711414,30.839527860711414
BATH BUILDING BLOCK WORD,1759.8500000000001,390361.7400000001,30.979189927475094,30.979189927475094
SILVER CHRISTMAS TREE BAUBLE STAND ,1755.75,392117.4900000001,31.118526617374986,31.118526617374986
DOOR MAT 3 SMILEY CATS,1748.93,393866.4200000001,31.257322070638054,31.257322070638054
ROUND SNACK BOXES SET OF4 WOODLAND ,1737.75,395604.1700000001,31.39523027674573,31.39523027674573
JUMBO BAG STRAWBERRY,1733.85,397338.0200000001,31.532828978031752,31.532828978031752
BLUE 3 PIECE MINI DOTS CUTLERY SET,1726.36,399064.38000000006,31.669833271339787,31.669833271339787
WHITE SWEETHEARTS CABINET 4 DRAWERS,1716.0,400780.38000000006,31.806015392865188,31.806015392865188
GREY HEART HOT WATER BOTTLE,1706.15,402486.5300000001,31.9414158163154,31.9414158163154
LUNCH BAG  BLACK SKULL.,1692.29,404178.82000000007,32.0757163072456,32.0757163072456
ENAMEL FLOWER JUG CREAM,1692.2,405871.0200000001,32.210009655756835,32.210009655756835
BLACK/BLUE DOTS RUFFLED UMBRELLA,1691.7,407562.7200000001,32.34426332416274,32.34426332416274
FELTCRAFT 6 FLOWER FRIENDS,1680.8700000000001,409243.5900000001,32.47765752148698,32.47765752148698
CLASSIC METAL BIRDCAGE PLANT HOLDER,1675.5,410919.0900000001,32.610625554479874,32.610625554479874
RETROSPOT TEA SET CERAMIC 11 PC ,1675.3500000000001,412594.44000000006,32.74358168344117,32.74358168344117
RETROSPOT HEART HOT WATER BOTTLE,1671.8500000000001,414266.29000000004,32.876260051665085,32.876260051665085
ROUND SNACK BOXES SET OF 4 FRUITS ,1670.75,415937.04000000004,33.00885112365726,33.00885112365726
TEA TIME PARTY BUNTING,1660.65,417597.69000000006,33.14064065752157,33.14064065752157
CREAM CUPID HEARTS COAT HANGER,1657.49,419255.18000000005,33.272179413120135,33.272179413120135
DOORMAT RED RETROSPOT,1657.2,420912.38000000006,33.4036951542576,33.4036951542576
ANTIQUE LILY FAIRY LIGHTS,1652.45,422564.8300000001,33.53483393439435,33.53483393439435
BLUE DINER WALL CLOCK,1650.45,424215.2800000001,33.66581399410973,33.66581399410973
VINTAGE UNION JACK DOORSTOP,1647.1100000000001,425862.3900000001,33.79652899072145,33.79652899072145
WHITE SKULL HOT WATER BOTTLE ,1645.11,427507.50000000006,33.9270852669118,33.9270852669118
HOT WATER BOTTLE I AM SO POORLY,1642.3500000000001,429149.85000000003,34.05742250892068,34.05742250892068
SWEETHEART CAKESTAND 3 TIER,1637.0,430786.85000000003,34.18733517380244,34.18733517380244
LUNCH BAG SUKI  DESIGN ,1635.3999999999999,432422.25000000006,34.3171208623471,34.3171208623471
DOORMAT NEW ENGLAND,1634.52,434056.7700000001,34.446836713906364,34.446836713906364
SEWING BOX RETROSPOT DESIGN ,1631.1,435687.87000000005,34.57628115354511,34.57628115354511
DOOR MAT WELCOME PUPPIES,1630.07,437317.94000000006,34.70564385216685,34.70564385216685
PINK 3 PIECE MINI DOTS CUTLERY SET,1619.56,438937.50000000006,34.83417247497436,34.83417247497436
JUMBO  BAG BAROQUE BLACK WHITE,1615.95,440553.45000000007,34.96241460742131,34.96241460742131
FELTCRAFT CUSHION BUTTERFLY,1609.24,442162.69000000006,35.090124232854606,35.090124232854606
SET 10 LIGHTS NIGHT OWL,1605.6,443768.29000000004,35.21754498712103,35.21754498712103
GIN + TONIC DIET METAL SIGN,1602.1000000000001,445370.39,35.34468798065007,35.34468798065007
CHRISTMAS LIGHTS 10 REINDEER,1595.45,446965.84,35.471303228778105,35.471303228778105
WHEELBARROW FOR CHILDREN ,1585.53,448551.37000000005,35.59713122361621,35.59713122361621
WHITE WIRE EGG HOLDER,1585.3,450136.67000000004,35.722940965605844,35.722940965605844
SET/3 RUSSIAN DOLL STACKING TINS,1584.15,451720.82000000007,35.848659443353206,35.848659443353206
BABUSHKA LIGHTS STRING OF 10,1582.27,453303.0900000001,35.97422872390448,35.97422872390448
BLUE HAPPY BIRTHDAY BUNTING,1575.74,454878.8300000001,36.09927978228003,36.09927978228003
PLEASE ONE PERSON METAL SIGN,1575.01,456453.8400000001,36.224272907701774,36.224272907701774
ROSE CARAVAN DOORSTOP,1574.7,458028.5400000001,36.34924143145822,36.34924143145822
WHITE TISSUE REAM,1566.15,459594.6900000001,36.473531425413356,36.473531425413356
WELCOME  WOODEN BLOCK LETTERS,1557.78,461152.47000000015,36.597157174405105,36.597157174405105
WHITE BEADED GARLAND STRING 20LIGHT,1551.6,462704.0700000001,36.720292477294855,36.720292477294855
NATURAL SLATE CHALKBOARD LARGE ,1548.8,464252.8700000001,36.8432055715947,36.8432055715947
HAND OVER THE CHOCOLATE   SIGN ,1548.54,465801.4100000001,36.96609803223978,36.96609803223978
PHARMACIE FIRST AID TIN,1545.26,467346.6700000001,37.08873019139382,37.08873019139382
LUNCH BAG SPACEBOY DESIGN ,1538.34,468885.0100000001,37.21081317788997,37.21081317788997
COLOUR GLASS. STAR T-LIGHT HOLDER,1530.75,470415.7600000001,37.33229382038706,37.33229382038706
RED SPOTTY BISCUIT TIN,1529.5,471945.2600000001,37.4536752626208,37.4536752626208
RECIPE BOX PANTRY YELLOW DESIGN,1517.5500000000002,473462.8100000001,37.57410835033693,37.57410835033693
FAWN BLUE HOT WATER BOTTLE,1512.1000000000001,474974.9100000001,37.69410892490485,37.69410892490485
HEART OF WICKER SMALL,1510.6599999999999,476485.57000000007,37.8139952207694,37.8139952207694
6 EGG HOUSE PAINTED WOOD,1508.3500000000001,477993.92000000004,37.93369819454727,37.93369819454727
DELUXE SEWING KIT ,1496.3500000000001,479490.27,38.052448845797,38.052448845797
CHICK GREY HOT WATER BOTTLE,1493.65,480983.92000000004,38.170985224477896,38.170985224477896
BOX OF VINTAGE JIGSAW BLOCKS ,1482.25,482466.17000000004,38.28861689675705,38.28861689675705
3 TIER CAKE TIN RED AND CREAM,1477.3999999999999,483943.57000000007,38.40586367201441,38.40586367201441
FELTCRAFT CUSHION RABBIT,1472.25,485415.82000000007,38.52270174218677,38.52270174218677
DOORMAT FAIRY CAKE,1468.7,486884.5200000001,38.639258083611224,38.639258083611224
FELTCRAFT CUSHION OWL,1468.5,488353.0200000001,38.75579855299354,38.75579855299354
LUNCH BAG CARS BLUE,1465.4399999999998,489818.4600000001,38.87209618013118,38.87209618013118
DOORMAT FANCY FONT HOME SWEET HOME,1463.8,491282.26000000007,38.988263656523294,38.988263656523294
WHITE METAL LANTERN,1457.58,492739.8400000001,39.103937512405,39.103937512405
PAPER CHAIN KIT RETRO SPOT,1454.45,494194.2900000001,39.21936297082727,39.21936297082727
PEACE WOODEN BLOCK LETTERS,1443.2,495637.4900000001,39.3338956268794,39.3338956268794
AIRLINE BAG VINTAGE TOKYO 78,1438.45,497075.9400000001,39.44805132193082,39.44805132193082
STRAWBERRY FAIRY CAKE TEAPOT,1429.95,498505.89000000013,39.561532455191454,39.561532455191454
GINGHAM HEART  DOORSTOP RED,1418.28,499924.17000000016,39.67408745479346,39.67408745479346
ADVENT CALENDAR GINGHAM SACK,1418.05,501342.22000000015,39.78662420154701,39.78662420154701
SWEETHEART CREAM STEEL TABLE RECT,1416.45,502758.67000000016,39.899033971963476,39.899033971963476
JUMBO BAG PINK WITH WHITE SPOTS,1414.11,504172.78000000014,40.011258039486954,40.011258039486954
TEA TIME TEAPOT IN GIFT BOX,1413.61,505586.39000000013,40.123442426905086,40.123442426905086
LADIES & GENTLEMEN METAL SIGN,1413.3,506999.6900000001,40.23560221265791,40.23560221265791
 WHITE CHERRY LIGHTS,1408.55,508408.2400000001,40.347385037410014,40.347385037410014
SET OF 3 CASES WOODLAND DESIGN,1408.55,509816.7900000001,40.45916786216212,40.45916786216212
LIGHT PINK CHERRY LIGHTS,1404.15,511220.9400000001,40.57060150198723,40.57060150198723
DOOR MAT FANCY FONT HOME SWEET HOME,1401.76,512622.7000000001,40.68184547090882,40.68184547090882
BINGO SET,1396.95,514019.65000000014,40.79270771721704,40.79270771721704
RED DINER WALL CLOCK,1391.45,515411.10000000015,40.90313348236653,40.90313348236653
CREAM SWEETHEART SHELF + HOOKS,1389.8400000000001,516800.9400000002,41.01343147757682,41.01343147757682
GROW YOUR OWN HERBS SET OF 3,1382.66,518183.60000000015,41.12315966647444,41.12315966647444
DOORSTOP RETROSPOT HEART,1379.43,519563.03000000014,41.23263152189157,41.23263152189157
FELTCRAFT DOLL ROSIE,1378.0800000000002,520941.11000000016,41.34199624102427,41.34199624102427
VINTAGE SNAKES & LADDERS,1377.48,522318.59000000014,41.451313344030574,41.451313344030574
WHITE CHERRY LIGHTS,1373.6,523692.1900000001,41.56032252941944,41.56032252941944
LUNCH BAG WOODLAND,1371.1499999999999,525063.3400000001,41.66913728229213,41.66913728229213
DOORMAT RED SPOT,1370.69,526434.03,41.77791552946791,41.77791552946791
DOOR MAT TOPIARY,1364.94,527798.97,41.886237455432294,41.886237455432294
METAL SHELF WITH RAIL ,1364.25,529163.22,41.99450462285131,41.99450462285131
DOOR MAT MULTICOLOUR STRIPE,1358.15,530521.37,42.10228769298518,42.10228769298518
UNION STRIPE WITH FRINGE  HAMMOCK,1349.4,531870.77,42.209376361275616,42.209376361275616
RED RETROSPOT BUTTER DISH,1332.06,533202.8300000001,42.315088923512874,42.315088923512874
SAVOY ART DECO CLOCK,1331.85,534534.68,42.42078482010588,42.42078482010588
RED SPOTTY TABLECLOTH ,1329.0900000000001,535863.77,42.526261682517415,42.526261682517415
HOT WATER BOTTLE BABUSHKA ,1321.1000000000001,537184.87,42.63110445684562,42.63110445684562
RECYCLING BAG RETROSPOT ,1320.71,538505.58,42.73591628069167,42.73591628069167
3 HEARTS HANGING DECORATION RUSTIC,1316.8000000000002,539822.38,42.840417806113955,42.840417806113955
BLACK HEART CARD HOLDER,1303.73,541126.11,42.94388209358267,42.94388209358267
TEA TIME KITCHEN APRON,1295.45,542421.5599999999,43.04668927850695,43.04668927850695
FELTCRAFT DOLL MOLLY,1293.79,543715.35,43.14936472548152,43.14936472548152
HOME SMALL WOOD LETTERS,1291.25,545006.6,43.25183859752096,43.25183859752096
JUMBO BAG SCANDINAVIAN PAISLEY,1290.28,546296.88,43.35423549015604,43.35423549015604
NURSE'S BAG SOFT TOY,1287.8,547584.68,43.45643556946864,43.45643556946864
HAND WARMER OWL DESIGN,1282.3,548866.9800000001,43.558199167622504,43.558199167622504
METAL SIGN TAKE IT OR LEAVE IT ,1280.67,550147.6500000001,43.659833408632956,43.659833408632956
COOK WITH WINE METAL SIGN ,1274.62,551422.2700000001,43.7609875203688,43.7609875203688
PAPER BUNTING WHITE LACE,1270.75,552693.0200000001,43.861834508089316,43.861834508089316
LUNCH BAG PINK RETROSPOT,1267.9399999999998,553960.9600000001,43.96245849361782,43.96245849361782
NO SINGING METAL SIGN,1263.63,555224.5900000001,44.0627404366383,44.0627404366383
CABIN BAG VINTAGE RETROSPOT,1262.85,556487.4400000001,44.162960478694444,44.162960478694444
JUMBO BAG PINK VINTAGE PAISLEY,1261.78,557749.2200000001,44.26309560532517,44.26309560532517
DOORMAT AIRMAIL ,1254.27,559003.4900000001,44.36263473677369,44.36263473677369
CREAM SWEETHEART LETTER RACK,1240.79,560244.2800000001,44.46110409258227,44.46110409258227
HAND WARMER SCOTTY DOG DESIGN,1240.05,561484.3300000002,44.55951472183494,44.55951472183494
ALARM CLOCK BAKELIKE RED ,1239.45,562723.7800000001,44.65787773496119,44.65787773496119
DOOR MAT UNION JACK GUNS AND ROSES,1238.07,563961.8500000001,44.75613123099671,44.75613123099671
FELTCRAFT CHRISTMAS FAIRY,1229.5,565191.3500000001,44.8537046100267,44.8537046100267
"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",1222.8,566414.1500000001,44.950746275645166,44.950746275645166
WOODEN REGATTA BUNTING,1217.75,567631.9000000001,45.047387172199684,45.047387172199684
TEA TIME TEA TOWELS ,1215.95,568847.8500000001,45.14388522037498,45.14388522037498
RED WHITE SCARF  HOT WATER BOTTLE,1212.45,570060.3,45.24010550781289,45.24010550781289
DOOR MAT BLACK FLOCK ,1212.4,571272.7000000001,45.33632182724028,45.33632182724028
ROSE COTTAGE KEEPSAKE BOX ,1210.6,572483.3,45.43239529828845,45.43239529828845
RED RETROSPOT ROUND CAKE TINS,1207.8999999999999,573691.2000000001,45.52825449676779,45.52825449676779
OPEN CLOSED METAL SIGN,1205.9,574897.1000000001,45.62395497482576,45.62395497482576
DOORMAT 3 SMILEY CATS,1205.79,576102.8900000001,45.71964672326056,45.71964672326056
PINK AND LILAC QUILTED THROW ,1198.7,577301.5900000001,45.81477580780164,45.81477580780164
ENCHANTED BIRD COATHANGER 5 HOOK,1197.38,578498.9700000001,45.909800136864625,45.909800136864625
BLACK KITCHEN SCALES,1192.55,579691.5200000001,46.00444115611004,46.00444115611004
EMBOSSED HEART 3 DRAWER SHELF,1183.95,580875.4700000001,46.0983996775436,46.0983996775436
METAL 4 HOOK HANGER FRENCH CHATEAU,1182.45,582057.92,46.19223915866114,46.19223915866114
BREAD BIN DINER STYLE RED ,1178.3999999999999,583236.3200000001,46.28575723092544,46.28575723092544
SET OF 3 COLOURED  FLYING DUCKS,1177.5,584413.8200000001,46.37920387900012,46.37920387900012
HOME SWEET HOME METAL SIGN ,1173.71,585587.53,46.47234975187634,46.47234975187634
HAND WARMER BIRD DESIGN,1172.1000000000001,586759.63,46.56536785481335,46.56536785481335
ALARM CLOCK BAKELIKE GREEN,1158.39,587918.02,46.65729792926196,46.65729792926196
LARGE CAKE STAND HANGING HEARTS,1153.1899999999998,589071.21,46.74881533061503,46.74881533061503
6 RIBBONS RUSTIC CHARM,1148.6499999999999,590219.86,46.839972436611625,46.839972436611625
REX CASH+CARRY JUMBO SHOPPER,1135.25,591355.11,46.93006611578512,46.93006611578512
WOODEN ADVENT CALENDAR RED,1127.55,592482.66,47.019548721336385,47.019548721336385
EDWARDIAN PARASOL PINK,1125.95,593608.61,47.10890435055056,47.10890435055056
RED RETROSPOT SMALL MILK JUG,1118.6999999999998,594727.3099999999,47.197684618237304,47.197684618237304
5 HOOK BLACKBOARD ORGANISER ,1113.83,595841.1399999999,47.28607840169804,47.28607840169804
SWEETHEART CERAMIC TRINKET BOX,1113.44,596954.5799999998,47.37444123467662,47.37444123467662
FELTCRAFT DOLL EMILY,1108.6100000000001,598063.1899999998,47.46242075783762,47.46242075783762
 RED/WHITE DOT MINI CASES,1101.49,599164.6799999998,47.549835236298584,47.549835236298584
PINK FLORAL FELTCRAFT SHOULDER BAG,1099.25,600263.9299999998,47.63707194788763,47.63707194788763
SHOE SHINE BOX ,1093.05,601356.9799999999,47.72381662617046,47.72381662617046
DOORMAT HOME SWEET HOME BLUE ,1090.93,602447.9099999999,47.81039306080666,47.81039306080666
PICCADILLY TEA SET,1088.7,603536.6099999999,47.89679252217303,47.89679252217303
RED SPOTTY COIR DOORMAT,1086.55,604623.1599999999,47.98302135908645,47.98302135908645
JUMBO STORAGE BAG SKULLS,1086.22,605709.3799999999,48.069224007130344,48.069224007130344
SET/3 RED GINGHAM ROSE STORAGE BOX,1083.47,606792.8499999999,48.15520841459487,48.15520841459487
GUMBALL COAT RACK,1082.78,607875.6299999999,48.24113806351403,48.24113806351403
RED RETROSPOT MINI CASES,1082.7,608958.3299999998,48.32706136361633,48.32706136361633
NOVELTY BISCUITS CAKE STAND 3 TIER,1082.6999999999998,610041.0299999998,48.412984663718625,48.412984663718625
RED SPOTTY APRON ,1082.3500000000001,611123.3799999998,48.49888018774719,48.49888018774719
"DIAMANTE HEART SHAPED WALL MIRROR, ",1081.51,612204.8899999998,48.584709049198786,48.584709049198786
LARGE CAKE TOWEL PINK SPOTS,1080.35,613285.2399999998,48.67044585280599,48.67044585280599
